frame,shepherd,min_distance,max_distance,avg_distance,furthest_sheep_distance,dog_speed,min_speed,max_speed,avg_speed
80,dog,254.0177159176108,254.0177159176108,254.0177159176108,0.0,285.0,62.86145480340079,62.86145480340079,62.86145480340079
81,dog,263.46346995361614,263.46346995361614,263.46346995361614,0.0,289.9407267011656,53.033008588991066,53.033008588991066,53.033008588991066
82,dog,274.85450696686786,274.85450696686786,274.85450696686786,0.0,296.8427614074496,56.747797314080834,56.747797314080834,56.747797314080834
83,dog,,,,308.5781910634645,0.0,56.747797314080834,307.7057238661641,182.22676059012247
84,dog,299.38603841862766,299.38603841862766,299.38603841862766,0.0,315.20082883774273,52.5,52.5,52.5
85,dog,311.6167517961767,311.6167517961767,311.6167517961767,0.0,320.5317846953715,53.033008588991066,53.033008588991066,53.033008588991066
86,dog,321.2537937519182,321.2537937519182,321.2537937519182,0.0,299.64823126459464,57.36396952791883,57.36396952791883,57.36396952791883
87,dog,336.1487765856065,336.1487765856065,336.1487765856065,0.0,299.64823126459464,61.84658438426491,61.84658438426491,61.84658438426491
88,dog,347.9798844761001,347.9798844761001,347.9798844761001,0.0,275.3889295160574,66.45016930001006,66.45016930001006,66.45016930001006
89,dog,,,,374.2702900311485,0.0,77.30823048033115,262.60712100017395,169.95767574025254
90,dog,366.5092086155544,366.5092086155544,366.5092086155544,0.0,255.44079548889604,64.73503688112025,64.73503688112025,64.73503688112025
91,dog,,,,390.0938989525471,0.0,60.46693311223912,237.7038598761072,149.08539649417315
92,dog,381.7970665157081,381.7970665157081,381.7970665157081,0.0,229.51715622149035,49.323549142372144,49.323549142372144,49.323549142372144
93,dog,388.20741878537046,388.20741878537046,388.20741878537046,0.0,210.1338858918285,37.68703357920334,37.68703357920334,37.68703357920334
94,dog,,,,412.4930302441485,0.0,41.92627457812106,202.8122592448494,122.36926691148524
95,dog,,,,420.77309799938496,0.0,30.0,206.7947351844336,118.39736759221678
96,dog,410.16094402075873,410.16094402075873,410.16094402075873,0.0,245.1593869302173,33.75,33.75,33.75
97,dog,,,,440.52014709885856,0.0,41.92627457812106,230.7088262290804,136.3175504036007
98,dog,427.05620239027087,427.05620239027087,427.05620239027087,0.0,214.93094821360648,42.75657844121767,42.75657844121767,42.75657844121767
99,dog,,,,449.32059823693817,0.0,54.60082416960389,172.66296649832006,113.63189533396198
100,dog,,,,468.7411332494728,0.0,0.0,116.79308626798075,55.229034769000215
101,dog,,,,461.02630076818826,0.0,52.63375817856825,113.49559462816168,83.06467640336496
102,dog,,,,481.4761157108419,0.0,0.0,129.4700737622405,59.83377133423809
103,dog,268.5218799278748,461.34585724811706,344.5040887299237,189.76301009416983,150.04686767806916,0.0,35.37742924521226,11.792476415070754
104,dog,275.2816739269071,469.80208598940897,351.7768119887325,189.26502582357887,152.27955378185214,0.0,33.95769426801532,11.319231422671772
105,dog,284.33958570695006,477.5615143622861,360.8522261777025,190.5911855254592,168.7916615239035,0.0,34.573291714848324,11.524430571616108
106,dog,292.2190958852621,484.1332461213545,367.4635611034041,190.0539397118618,169.1245842566952,0.0,43.73213921133976,14.577379737113253
107,dog,300.416377715996,491.40614566771546,376.4303468112736,190.17426219128603,176.60867758974925,42.75657844121767,55.36808647587525,48.958221639030974
108,dog,,,,508.11735849112654,0.0,41.92627457812106,184.70415534037127,80.44134205167275
109,dog,314.9857139617605,511.1056642221841,392.31439958593865,192.0865690255308,161.29359875704927,41.42010381445223,52.63375817856825,46.812933427073055
110,dog,317.8443015062564,515.228104823485,395.2800117433756,192.6655132606768,120.0,34.573291714848324,52.63375817856825,44.27592295688441
111,dog,320.1124802315586,518.1515222403578,397.5549684684345,189.80845608138748,67.6040864149498,33.95769426801532,41.92627457812106,37.85700080844657
112,dog,320.777181233329,516.2944896084017,397.4773504335933,190.63118842414008,31.81980515339464,30.23346655611956,50.31152949374527,40.31124403445787
113,dog,,,,189.5943037118996,0.0,26.516504294495533,41.92627457812106,34.33869019582164
114,dog,,,,187.1429934568751,0.0,22.5,46.38493828819868,38.06545356305944
115,dog,322.4065756153246,508.9489168865575,396.63232747672487,186.23238171703653,36.93321675673539,27.300412084801945,39.15114940841457,35.02005817397259
116,dog,,,,510.9368845562042,0.0,23.717082451262847,45.15597967047111,37.69519749284155
117,dog,,,,512.4453629412603,0.0,0.0,41.92627457812106,25.078064435908413
118,dog,,,,510.7085763916639,0.0,0.0,35.57562367689427,23.277375579453945
119,dog,316.89272632864265,503.4411584286688,390.61971092789344,187.02473098496893,50.03124024047376,28.559149146989657,54.08326913195984,40.59785589578802
120,dog,,,,186.2773469856172,0.0,24.011715890373186,35.37742924521226,28.63521647669366
121,dog,,,,360.0920021327883,0.0,28.559149146989657,67.6040864149498,44.92394953021358
122,dog,,,,357.27895264065023,0.0,34.573291714848324,86.98060128557401,54.03878161646407
123,dog,,,,351.5252480263687,0.0,27.04163456597992,117.45344822524368,61.68584488006449
124,dog,,,,348.5,0.0,0.0,38.60861302870126,22.94735986160694
125,dog,,,,344.2455518957362,0.0,27.04163456597992,136.50206042400973,63.52844318532319
126,dog,,,,341.08796519373124,0.0,21.86606960566988,135.5198324969449,60.46587266432932
127,dog,285.2367437761131,321.6286678764814,303.43270582629725,38.93905494487508,118.40740052885208,20.19436802675439,31.81980515339464,26.007086590074515
128,dog,,,,334.51158425381925,0.0,20.19436802675439,121.0500929367673,56.844299082723886
129,dog,,,,330.65087327875,0.0,21.86606960566988,117.75238851080688,55.378320803657424
130,dog,,,,327.8906067578027,0.0,21.213203435596427,112.56248264852726,51.66296317324004
131,dog,,,,1026.0439805388462,0.0,0.0,112.7497228377968,37.9235227161378
132,dog,,,,988.1462442371576,0.0,0.0,123.69316876852982,27.83096297291921
133,dog,,,,988.1549726637012,0.0,0.0,133.16460678423527,30.382921356847056
134,dog,104.6900186264192,748.9225594145232,399.2465388824835,987.6640370085366,150.74813431681335,0.0,24.011715890373186,6.002928972593296
135,dog,,,,987.6550511185573,0.0,0.0,168.75,41.34674265336897
136,dog,101.0,759.4715267868836,350.8970420464639,986.6464665725003,177.2445344714471,0.0,24.011715890373186,14.90136731058458
137,dog,100.17983829094555,766.4215550204731,351.1797970824638,986.6552082667988,176.60867758974925,0.0,20.19436802675439,12.410581850477165
138,dog,99.98499887483122,775.2418977325723,351.303760844616,987.1641200935132,187.8371967955229,0.0,16.770509831248425,11.361566281746784
139,dog,,,,1193.9854479850246,0.0,0.0,191.3970023276227,36.41212886598221
140,dog,,,,1187.511368366636,0.0,0.0,214.93094821360648,41.48509993578897
141,dog,,,,1191.98710144028,0.0,0.0,241.86773244895647,45.043535261093815
142,dog,113.63538181394031,811.5793245271839,365.02427700510657,1194.526056643387,254.61367795151932,0.0,20.19436802675439,10.058355462271171
143,dog,,,,987.70251088068,0.0,11.858541225631424,283.9123984612155,61.43489088568045
144,dog,,,,988.2024084164134,0.0,11.858541225631424,284.82725027637366,61.29391786729019
145,dog,,,,988.2024084164134,0.0,11.858541225631424,279.11691098892595,62.45417797319723
146,dog,,,,989.1922209560688,0.0,15.909902576697318,274.16065089651363,63.61953467665924
147,dog,,,,989.1922209560688,0.0,13.52081728298996,258.99444974748013,60.65955892338866
148,dog,,,,989.1824907467784,0.0,13.52081728298996,251.36191537303336,61.36871911843816
149,dog,83.86298349093002,871.8675358103432,370.7095983985066,987.6925128804004,240.0,11.858541225631424,26.516504294495533,20.4950356587508
150,dog,,,,1189.8138509867836,0.0,0.0,243.7788444471751,48.32995760981456
151,dog,,,,988.244908916813,0.0,11.25,247.5,58.725658617659896
152,dog,88.07383266328314,902.3375200001384,384.82098575634114,988.267676290184,259.4284583464197,11.858541225631424,32.25871975140985,22.094917349149704
153,dog,92.0271699010678,914.3751965139912,390.89036109929776,989.7672706247666,280.5491267140213,18.75,29.288436284649958,23.606643279241258
154,dog,,,,989.255907235332,0.0,21.86606960566988,298.59043856091574,73.65953676478308
155,dog,,,,988.7560366440248,0.0,21.86606960566988,304.5591075637043,75.10215759000097
156,dog,89.69392398596462,944.2044270177936,406.9933177280538,989.255907235332,294.8940487700625,21.213203435596427,37.5,28.42528581546522
